Date,AVG_Housing_Price
2000,119.45
2000,121.21
2001,124.81
2001,126.18
2001,127.58
2001,129.14
2002,131.01
2002,131.74
2002,133.92
2002,135.48
2003,136.74
2003,138.08
2003,139.46
2003,142.04
2004,143.66
2004,144.58
2004,146.54
2004,148.69
2005,149.61
2005,151.78
2005,153.74
2005,153.51
2006,154.51
2006,154.96
2006,155.37
2006,157.47
2007,158.11
2007,158.93
2007,159.04
2007,160.11
2008,162.70
2008,161.39
2008,160.48
2008,160.10
2009,163.54
2009,163.13
2009,161.08
2009,161.28
2010,160.89
2010,161.30
2010,164.38
2010,164.43
2011,162.85
2011,163.61
2011,164.52
2011,165.68
2012,164.72
2012,165.73
2012,167.37
2012,168.15
2013,168.50
2013,170.95
2013,171.79
2013,171.11
2014,171.14
2014,175.78
2014,177.55
2014,177.57
2015,179.04
2015,181.36
2015,183.63
2015,184.12
2016,186.04
2016,188.93
2016,190.56
2016,190.79
2017,190.55
2017,196.03
2017,197.53
2017,198.00
2018,200.14
2018,204.98
2018,207.25
2018,206.20
2019,209.37
2019,213.63
2019,216.65
2019,218.05
2020,220.86
2020,223.33
2020,227.80
2020,231.67
2021,236.08
2021,247.02
2021,258.71
2021,262.94
2022,269.88
2022,284.31
2022,287.12
